#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

# The endianness of binary files: 0=big endian (default), 1=little endian.
# Little endian is only tested for encoding UTF-8 (need examples of analysis).
@ENDIAN = 0

# If 1, then enable legacy (GameCube) mode for old binary BMG files.
# If enabled, ENCODING is always CP1252.
@LEGACY = 0

# Define encoding of BMG: 1=CP1252, 2=UTF-16/be, 3=Shift-JIS, 4=UTF-8
@ENCODING = 2

# Create »MID1« section: 0=off, 1=on
@BMG-MID = 0

# Size of each element of section 'INF1' (MKW=8).
# This setting has impact to attributes and MKW features.
@INF-SIZE = 0x08

# Default attribute values for this BMG (MKW=[1])
@DEFAULT-ATTRIBS = [0]

# Use MKW specific color names: 0=off, 1=auto, 2=on
@COLOR-NAMES = 1

# Use MKW messages and track names: 0=off, 1=auto, 2=on
@MKW-MESSAGES = 1

#
#------------------------------------------------------------------------------

# This part defines values for unknown parameters of section headers.
@UNKNOWN-INF32-0C =   0x110000	# 32 bit value of section INF1 offset 0x0c
@UNKNOWN-MID16-0A =     0x1000	# 16 bit value of section MID1 offset 0x0a
@UNKNOWN-MID32-0C =          0	# 32 bit value of section MID1 offset 0x0c

#
#------------------------------------------------------------------------------

     0	= 
     1	= Eukalia hat jemanden mitgebracht.
     2	= Eukalia hat jemanden mitgebracht.
     3	= Ich habe 10 Pokémon gesammelt.
     4	= Ich habe 100 Pokémon gesammelt.
     5	= Ich habe 1.000 Pokémon gesammelt.
     6	= Ich bin hier um %{} zu treffen.
     7	= Ich bin hier um %{} zu treffen.
	 8	= %{} wurde die Leitung der Ranch überlassen.
     9	= Ich hab Achtung! gesehen.
     a	= Ich hab die Zickzack-Parade gesehen.
     b	= Ich hab den Pokémon Dash gesehen.
     c	= Ich habe die Luft-Parade gesehen.
     d	= Ich habe den Totempfahl gesehen.
     e	= Ich habe den Hüpftanz gesehen.
     f	= Ich habe die Pikachu-Show gesehen.
    10	= Ich habe das Ringelreigen gesehen.
    11	= Ich habe den Spaßtanz gesehen.
    12	= Ich habe den Zickzack-Tanz gesehen.
    13	= Ich habe den Langsamen Walzer gesehen.
    14	= Ich habe die Riesenwelle gesehen.
    15	= Ich habe einen Chor gesehen.
    16	= Ich habe den Karusselltanz gesehen.
    17	= Ich habe die Uhr gesehen.
    18	= Ich hab eine Tastatur gesehen.
    19	= Ich habe den Schwindeltanz gesehen.
    1a	= Ich habe die Sumoparade gesehen.
    1b	= Ich habe das Kampfturnier gesehen.
    1c	= Ich habe Hau den Maulwurf gesehen.
    1d	= Ich habe das Rangeln gesehen.
    1e	= Ich habe den Blumentanz gesehen.
    1f	= Ich habe die Reise gesehen.
    20	= Ich habe den Orbit gesehen.
    21	= Ich hab eine Auferstehung gesehen.
    22	= Ich habe Nach Norden ausgerichtet gesehen.
    23	= Ich hab einen Wassersprung gesehen.
    24	= Ich habe das Rotom-Roulette
    25	= Ich hab ein Duell gesehen.
    26	= Ich habe ein Gruppenfoto gemacht.
    27	= Ich hab Herzlichen Glückwunsch gesehen.
	28	= Ich hab die gesuchten Pokémon komplettiert.
	29 	= Ich habe einen Tausch von %{} erhalten.
	2a	= Die Ranch hat Level %d erreicht.
	2b	= Ich bin zur Ranch gekommen.
	2c	= Ich habe %d Stunden auf der Ranch verbracht.
	2d 	= Ich hab ein Foto gemacht.
	2e 	= Ich habe es aufgehoben.
	2f	= Ich habe es vorsichtig beobachtet.
	30	= Ich habe auf der Ranch gespielt.
	31	= Ich habe die Parade gesehen.
	32	= %{} hat %{} auf der Ranch gelassen.

